,doc_id,item,category,amount,price,discount
0,21dzio26Az,Comet чистящее средство,Бытовая химия,3,170,0
1,21s9AIf2Nl,Тарелка мал,Посуда,5,150,0
2,21s9AIf2Nl,Отвертка - бол,Инструменты,2,130,0
3,21FH5H8Wrt,AOS моющее средство,Бытовая химия,5,130,9
4,21dru2mSwl,Плоскогубцы,Инструменты,3,320,0
5,21dru2mSwl,Простынь 1,Текстиль,3,1200,0
6,21V6MOcpYu,Fairy моющее средство,Бытовая химия,1,150,0
7,21OgeGzO6u,Тарелка мал,Посуда,5,150,6
8,21u32skNS2,Пододеяльник 2,Текстиль,2,2200,9
9,21rhlWtkGR,Отвертка - мал,Инструменты,3,80,7
10,21nzzW2Yej,Полотенце мал,Текстиль,2,500,13
11,21nzzW2Yej,Малярный скотч,Канцтовары,5,60,0
12,21o36zHJpL,Полотенце мал,Текстиль,5,500,2
13,21I8ZJLO2l,Ручка зеленая,Канцтовары,3,50,9
14,21I8ZJLO2l,Наволочка квадратная,Текстиль,4,600,0
15,21KoxgXRmy,Пододеяльник 2,Текстиль,4,2200,4
16,21KhRVUHUi,Набор кастрюль,Посуда,5,3500,10
17,21AjbJoD3d,Набор блюдец,Посуда,1,470,0
18,21xlJ0mVvN,Пододеяльник 1.5,Текстиль,1,1700,0
19,21xlJ0mVvN,Отвертка - бол,Инструменты,4,130,8
20,21Tr2qgCcx,Полотенце бол,Текстиль,3,1100,0
21,21tjjeJJNv,Отвертка + бол,Инструменты,4,130,8
22,21tjjeJJNv,Полотенце бол,Текстиль,2,1100,0
23,21I7x6AdIb,Отвертка - мал,Инструменты,1,80,0
24,21rxuPHWsa,Стакан черный,Посуда,3,220,0
25,21rxuPHWsa,Стакан синий,Посуда,1,220,0
26,21YFOTySm3,Простынь 1,Текстиль,3,1200,0
27,21YFOTySm3,Бокорезы,Инструменты,5,300,0
28,21DdpiiGVg,Fairy моющее средство,Бытовая химия,2,150,0
29,21DdpiiGVg,AOS моющее средство,Бытовая химия,4,130,14
30,21vE33bbQV,Отвертка + бол,Инструменты,2,130,0
31,210uwjpQ6y,Ручка зеленая,Канцтовары,4,50,0
32,210uwjpQ6y,Тарелка бол,Посуда,1,220,9
33,21EkrKf1JI,Отвертка - мал,Инструменты,2,80,5
34,21kWnO31ah,Пододеяльник 1.5,Текстиль,2,1700,3
35,21kWnO31ah,Канцелярский нож,Канцтовары,2,80,0
36,21Fd7NcHkL,Ручка синяя,Канцтовары,4,50,0
37,21Fd7NcHkL,Стакан синий,Посуда,3,220,0
38,21Va5zv4Zc,Простынь 1,Текстиль,2,1200,0
39,21Va5zv4Zc,Бокорезы,Инструменты,5,300,11
40,21UEHEC0Pb,Comet чистящее средство,Бытовая химия,2,170,12
41,21UEHEC0Pb,Малярный скотч,Канцтовары,3,60,0
42,21fZ3vDYTQ,Comet чистящее средство,Бытовая химия,1,170,0
43,21tnGHGqc8,Отвертка + бол,Инструменты,3,130,0
44,21tnGHGqc8,Ручка зеленая,Канцтовары,2,50,0
45,212k6zEIw4,Ручка красная,Канцтовары,4,50,7
46,21LQxWVC0e,Ручка зеленая,Канцтовары,5,50,0
47,21LQxWVC0e,Малярный скотч,Канцтовары,3,60,11
48,21eDB4sVlw,Бокорезы,Инструменты,3,300,0
49,21Iyp3luMR,Простынь 2,Текстиль,4,2100,0
50,21Iyp3luMR,Отвертка - мал,Инструменты,5,80,0
51,216ZpZyIwv,Отвертка - бол,Инструменты,3,130,0
52,216ZpZyIwv,Comet чистящее средство,Бытовая химия,1,170,15
53,21mh2xrbj6,Отвертка - бол,Инструменты,3,130,0
54,21GCnlylkV,Полотенце бол,Текстиль,2,1100,15
55,21GCnlylkV,Отвертка - бол,Инструменты,1,130,13
56,21zRezgsb0,Плоскогубцы,Инструменты,1,320,6
57,21PDMsxSSn,Пододеяльник 2,Текстиль,2,2200,13
58,210zkgu0nK,Простынь 1.5,Текстиль,5,1500,8
59,210zkgu0nK,Крот средство от засоров,Бытовая химия,3,120,4
60,217RSmtmGw,Набор блюдец,Посуда,2,470,0
61,21W0OMZBEQ,Бумага 100 листов,Канцтовары,1,600,0
